Wall time,Step,Value
1744459956.2557685,381,-27.20726776123047
1744460034.171719,771,-25.380260467529297
1744460098.9011874,1171,-28.88516616821289
1744460162.785756,1571,-29.95094108581543
1744460215.1387804,1893,-27.376863479614258
1744460280.3910804,2293,-27.665782928466797
1744460334.8177383,2626,-26.974855422973633
1744460399.617155,3026,-26.899696350097656
1744460457.0087626,3330,-26.28911781311035
1744460541.1215544,3730,-26.337907791137695
1744460614.8815024,4075,-25.633214950561523
1744460773.979746,4416,-24.850563049316406
1744460845.5423286,4750,-24.223155975341797
1744460929.4915702,5150,-23.90615463256836
1744461013.8644085,5550,-23.61019515991211
1744461079.1614637,5853,-23.09767723083496
1744461413.140298,6253,-23.168516159057617
1744461486.7271185,6601,-22.532310485839844
1744461565.7330258,6975,-22.045650482177734
1744461634.6929522,7299,-21.606430053710938
1744461696.5676303,7587,-21.061182022094727
1744461797.4920497,7826,-20.4456787109375
1744462206.4259973,8149,-20.086938858032227
1744462630.5355928,8484,-19.681732177734375
1744462818.4200606,8824,-19.294466018676758
1744462870.877449,9065,-18.503707885742188
1744462939.220283,9390,-17.952770233154297
1744463011.086495,9725,-16.89910125732422
1744463059.9807873,9952,-15.858741760253906
1744463120.786561,10239,-15.589017868041992
1744463183.0122488,10530,-14.73972225189209
1744463223.5925155,10713,-14.067662239074707
1744463253.257535,10844,-13.168290138244629
1744463322.9674475,11176,-12.701179504394531
1744463390.4618707,11496,-12.020122528076172
1744463454.9613588,11799,-11.621501922607422
1744463512.7000659,12067,-11.33492374420166
1744463560.9087324,12290,-10.934635162353516
1744463622.2336626,12575,-10.525163650512695
1744463673.7915761,12813,-10.023262023925781
1744463709.7212188,12970,-9.586335182189941
1744463763.983665,13224,-8.916528701782227
1744463836.5725746,13568,-8.851472854614258
1744463894.9839993,13842,-8.62924575805664
1744463963.3844738,14162,-8.486470222473145
1744464030.9525404,14473,-8.452570915222168
1744464067.604369,14636,-8.327033996582031
1744464119.988811,14867,-8.086585998535156
1744464193.7378604,15199,-8.089387893676758
1744464272.7316473,15555,-8.154553413391113
1744464355.6320612,15939,-8.293143272399902
1744464416.852399,16213,-8.267288208007812
1744464474.886677,16479,-8.213411331176758
1744464507.93179,16626,-8.090546607971191
1744464576.2340443,16949,-8.115813255310059
1744464614.599357,17124,-8.06093978881836
1744464698.7624705,17524,-8.364839553833008
1744464753.319341,17779,-8.529136657714844
1744464821.4494913,18099,-8.559829711914062
1744464891.329918,18428,-8.592987060546875
1744465008.6986108,18815,-8.7513427734375
1744465269.4276392,19019,-8.635045051574707
1744465713.69538,19371,-8.805522918701172
1744465787.8940535,19534,-8.596479415893555
1744465847.7747946,19817,-8.610823631286621
1744465917.9137537,20150,-8.765645980834961
1744465959.5611281,20383,-8.751134872436523
1744466006.8532634,20676,-8.675281524658203
1744466057.6412094,20982,-8.706341743469238
1744466093.739875,21201,-8.580558776855469
1744466128.6247165,21410,-8.45117473602295
1744466167.890995,21645,-8.558560371398926
1744466202.4995584,21854,-8.557134628295898
1744466244.6584618,22110,-8.446515083312988
1744466276.6474702,22301,-8.218602180480957
1744466309.8198373,22498,-8.012717247009277
1744466331.5783198,22617,-7.75567102432251
1744466360.415165,22782,-7.575809955596924
1744466391.258804,22964,-7.6110639572143555
1744466411.1779654,23072,-7.263143539428711
1744466440.950062,23248,-7.168933868408203
1744466472.5623832,23434,-6.819077014923096
1744466498.269784,23585,-6.656295299530029
1744466527.0860648,23756,-6.40872049331665
1744466551.2129886,23896,-6.11323356628418
1744466575.0584676,24031,-5.747500419616699
1744466602.3268282,24188,-5.636729717254639
1744466629.8452263,24349,-5.34027624130249
1744466656.0801108,24503,-5.2827887535095215
1744466694.9933593,24735,-5.2470526695251465
1744466720.206082,24882,-5.026997089385986
1744466748.3800259,25043,-4.8820672035217285
1744466773.4173126,25186,-4.669328212738037
1744466796.3113675,25313,-4.453652381896973
1744466831.9379883,25507,-4.411224365234375
1744466861.2475963,25681,-4.340495586395264
1744466891.581231,25850,-4.2163405418396
1744466925.07399,26047,-4.167485237121582
1744466956.21072,26221,-4.012577056884766
1744466986.4808445,26386,-3.911755323410034
1744467015.9328084,26542,-3.8216898441314697
1744467046.9148228,26718,-3.895220994949341
1744467080.527895,26914,-3.954336166381836
1744467110.1938329,27071,-3.904653549194336
1744467133.0769207,27192,-3.910557746887207
1744467162.167754,27361,-3.8980932235717773
1744467193.8189154,27546,-3.8807687759399414
1744467230.8624725,27769,-3.9510390758514404
1744467264.7432346,27967,-4.002945423126221
1744467296.2528384,28143,-4.047159194946289
1744467331.434268,28347,-4.126353740692139
1744467353.9710066,28472,-4.083279609680176
1744467381.672469,28633,-4.074010372161865
1744467405.7704144,28759,-4.068828582763672
1744467432.29827,28911,-3.9717767238616943
1744467461.542172,29081,-4.006140232086182
1744467484.4049563,29204,-3.940812110900879
1744467524.0479577,29437,-4.076710224151611
1744467552.166489,29595,-4.085011005401611
1744467588.9579446,29807,-4.080344200134277
1744467619.0259743,29980,-4.052305221557617
1744467648.9356265,30151,-4.057060241699219
1744467677.3369703,30312,-3.981616973876953
1744467699.1021051,30434,-3.926778793334961
1744467721.921573,30562,-3.8759403228759766
1744467746.7607524,30699,-3.838930130004883
1744467777.0207179,30877,-3.800089120864868
1744467798.6473315,31001,-3.733302593231201
1744467835.69697,31220,-3.7913124561309814
1744467861.5995827,31372,-3.8185372352600098
1744467892.9183319,31558,-3.8405373096466064
1744467920.5142062,31722,-3.831523895263672
1744467950.6385124,31899,-3.7727816104888916
1744467970.2318826,32005,-3.631725311279297
1744467994.4180133,32140,-3.5597763061523438
1744468028.8536189,32350,-3.529597759246826
1744468057.576364,32515,-3.61385178565979
1744468204.5746577,32691,-3.6374921798706055
1744468268.8183975,32851,-3.640470266342163
1744468299.5358267,33033,-3.6762914657592773
1744468326.6522398,33188,-3.6340079307556152
1744468348.4842136,33303,-3.6755592823028564
1744468387.014296,33533,-3.746203899383545
1744468421.6093993,33739,-3.784559726715088
1744468460.8569667,33977,-3.827561140060425
1744468482.8553271,34097,-3.7608141899108887
1744468512.5666037,34265,-3.7965521812438965
1744468542.894472,34444,-3.863353967666626
1744468573.0629053,34622,-3.9207539558410645
1744468609.9618194,34846,-4.060891151428223
1744468637.134356,35004,-4.0738959312438965
1744468675.8472574,35237,-4.172397613525391
1744468710.4902382,35441,-4.213577747344971
1744468732.4605033,35566,-4.114964962005615
1744468762.638838,35742,-4.156202793121338
1744468790.5246315,35904,-4.107061386108398
1744468823.1249044,36099,-4.118088722229004
1744468865.0047576,36351,-4.251945495605469
1744468894.3285441,36520,-4.3146514892578125
1744469004.8890612,36713,-4.40728759765625
1744469159.7048345,36864,-4.332371234893799
1744469281.4906197,36981,-4.239831447601318
1744469417.4644053,37113,-4.198904037475586
1744469608.4765682,37300,-4.21500301361084
1744469753.6980176,37442,-4.151622295379639
1744469946.543263,37631,-4.2829365730285645
1744470099.4253201,37780,-4.268387794494629
1744470257.7043085,37935,-4.0659050941467285
1744470436.7039466,38110,-4.072792053222656
1744470577.69848,38247,-3.933593988418579
1744470751.4962523,38416,-4.015652656555176
1744470894.7062824,38556,-3.91135835647583
1744471048.454078,38705,-3.8137524127960205
1744471178.4838965,38831,-3.7575488090515137
1744471408.4514456,39057,-3.7505815029144287
1744471572.8837547,39219,-3.7693212032318115
1744471755.6997669,39398,-3.679706335067749
1744471914.5619118,39553,-3.619636297225952
1744472133.7047746,39769,-3.7293779850006104
1744472239.7222772,39916,-3.676664113998413
1744472270.6027105,40099,-3.735046625137329
1744472306.105264,40311,-3.7938570976257324
1744472326.37382,40425,-3.55517315864563
1744472371.1658537,40698,-3.7301223278045654
1744472408.0591478,40918,-3.8055145740509033
1744472431.851256,41054,-3.813912868499756
1744472461.3800414,41226,-3.8919601440429688
1744472490.7952466,41401,-3.954385995864868
1744472520.400898,41577,-3.985290288925171
1744472561.6992567,41823,-4.105696201324463
1744472587.3773239,41970,-4.016261100769043
1744472625.5310047,42198,-4.173393249511719
1744472658.2031205,42391,-4.273748874664307
1744472690.7170033,42580,-4.3085808753967285
1744472716.570788,42726,-4.334976673126221
1744472746.9912426,42905,-4.3461689949035645
1744472775.241804,43073,-4.402177333831787
1744472804.647523,43248,-4.491135597229004
1744472833.5676491,43418,-4.543392181396484
1744472866.446872,43614,-4.568447113037109
1744472895.0734603,43783,-4.59437370300293
1744472916.902418,43904,-4.597243785858154
1744472956.1424162,44142,-4.793736934661865
1744472979.3361306,44273,-4.683286190032959
1744473008.5351112,44441,-4.721123218536377
1744473147.5715885,44574,-4.62343692779541
1744473316.4724398,44739,-4.512189865112305
1744473564.7047322,44984,-4.680523872375488
1744473712.3255603,45149,-4.490401744842529
1744473738.7377162,45300,-4.337660312652588
1744473764.97113,45451,-4.352728843688965
1744473802.834917,45678,-4.44600772857666
1744473826.34058,45811,-4.381084442138672
1744473858.6256788,46001,-4.399776935577393
1744473888.3107107,46175,-4.313708782196045
1744473920.6802478,46370,-4.379881381988525
1744473942.5266457,46491,-4.240512847900391
1744473960.102648,46586,-4.079188346862793
1744473990.3236647,46762,-4.0360941886901855
1744474015.166394,46906,-4.03181791305542
1744474142.2015145,47064,-3.969832420349121
1744474313.4076355,47232,-3.9385790824890137
1744474525.4995427,47440,-3.934492588043213
1744474681.696716,47593,-3.9133431911468506
1744474859.1227558,47805,-3.868777275085449
1744474885.3426533,47955,-3.844132900238037
1744474912.6113298,48112,-3.8182060718536377
1744474940.6923668,48278,-3.6591992378234863
1744474969.0354004,48444,-3.682267427444458
1744474996.4843667,48605,-3.672908067703247
1744475029.8570724,48804,-3.8016622066497803
1744475061.1487381,48986,-3.846989154815674
1744475087.6541893,49134,-3.7750818729400635
1744475117.5932107,49311,-3.831857919692993
1744475149.2286453,49500,-3.8735268115997314
1744475247.387402,49655,-3.8371288776397705
1744475352.3673823,49832,-3.7105093002319336
